killed,pov15,emp15,ab100k15,mdhinc15,snap15,bagrad15,nohs2515,wbrat15,rural15,pop15
59,14.5,68.1,0.305949695,64309,6.7,35.7,0.139548607,13.98624415,0.035414231,3290245
22,13.2,76.5,0.424705693,81294,5.2,53.8,0.129697835,8.749193807,2.65E-06,862004
25,18.6,63.9,0.229069762,53274,13.8,18.4,0.219985219,8.035552991,0.086004577,723496
2,14.8,68.2,0.27493821,60691,5.9,33,0.102574071,41.3688842,0.173839662,280960
8,8,77.2,0.474500502,93623,3.5,45.6,0.116721141,21.17521477,0.022296342,763191
9,16.3,71.3,0.303525257,63985,7,32.2,0.203886321,37.09934685,0.061452295,443815
35,9.5,73.8,0.484497066,96310,5.1,47.9,0.130242175,18.67944525,0.011577415,1910105
5,15.1,71.2,0.330140714,67256,7.4,38.2,0.143966142,85.55857988,0.13814656,273627
10,18,61.6,0.164872072,44620,10,19.6,0.107286408,86.82941834,0.309727989,179301
0,14.6,54.1,0.21884984,42833,5.2,18.9,0.073511294,971,0.996993127,2983
5,23.1,57.6,0.102022683,37170,12.8,22.7,0.115658866,60.75201288,0.684274362,43483
14,13.4,66.3,0.306276634,66828,9.6,24.9,0.125188309,3.869418361,0.039581396,434321
10,11.7,72.5,0.299906274,64240,6.7,32.9,0.128544975,49.47406545,0.158604306,501474
12,20.3,63.7,0.193119223,50125,16,16.5,0.227633093,27.70003488,0.084126728,535385
5,17.8,64.3,0.21045211,52017,11.1,17.6,0.21522068,32.33674963,0.158514974,95978
3,19.8,58.9,0.134956126,41001,13.7,14.4,0.176730589,170.0654206,0.533108534,63073
1,19.5,55.5,0.111779723,34974,8.1,20,0.091860465,75.56291391,1,13068
13,28.1,63.7,0.156913978,42031,23.2,13.8,0.316112567,46.7967117,0.177753783,458238
1,13.9,54.8,0.181448516,50306,9.6,20.4,0.097477429,48.05247225,0.508769684,53615
10,11.1,72.7,0.376073079,77348,7,31.7,0.168673868,43.99880502,0.034729051,847719
6,19.9,67.4,0.276622637,54989,8.6,39,0.145062265,25.32982067,0.075052629,212202
6,21.9,55.9,0.145351844,46892,16.7,14.3,0.191752303,20.95684039,0.306676316,74299
19,13.8,75.2,0.225777,58946,11.2,22.2,0.177414247,25.5668239,0.037373725,490674
0,28.9,59.4,0.098786244,32395,24.1,25.5,0.151783784,46.72937294,0.380988709,16435
10,11.2,76.8,0.288927313,63265,7.9,40.1,0.080350644,7.13535814,0.014422936,629241
0,11.7,68.3,0.184101987,46646,9.6,35,0.084253534,96.69090909,0.615270486,12384
0,20.5,75.5,0.095663265,38000,11.9,19,0.12789828,80.54545455,1,3599
0,25.6,27.8,0.100917431,36791,22.6,7,0.238320642,9.067889908,0.461641392,5892
8,14.1,77.1,0.356018806,70961,5.5,58.9,0.058793962,97.77916518,0.108144266,318738
0,6.5,79.3,0.387956313,81898,4,51.9,0.043370841,86.60197368,0.00569637,64885
1,8.7,66.7,0.149303765,51092,6.8,34.1,0.088679245,46.82288828,0.472854291,18606
0,8.6,71.8,0.144010767,52554,8.7,22.5,0.090202177,321.3333333,1,1816
0,8.3,76.5,0.297092886,67710,5.4,41.5,0.031914894,71.575,1,9364
0,18.3,62.1,0.107869742,36652,20.9,19.5,0.152727959,945.125,1,8125
0,23.7,53.4,0.105696637,31321,24.8,17.9,0.241027578,0,1,3563
0,33.4,38.2,0.071000855,31151,22.2,11.1,0.165637282,15.9760274,1,5639
0,17.4,53.9,0.079158317,35000,8.8,35.5,0.064669238,29.95555556,1,4425
0,16.3,60.4,0.138663128,42452,11.6,20,0.110825216,98.86896552,0.648778479,29950
25,17.3,76.1,0.248543302,53637,10.6,45,0.138864186,7.838212439,0,680032
0,21.5,71.5,0.116147309,31875,9.1,21,0.107542942,0,1,1981
1,4,80.5,0.52234212,102964,2.2,56.6,0.023197869,83.7907117,0.111988695,322381
1,9.2,84.5,0.34955157,72214,3.2,46.7,0.10866377,134.167147,0.299629535,53346
0,7,76,0.402162291,84963,4.3,30.6,0.040606389,180.3809524,1,24698
8,11.8,67.4,0.249654486,58206,9.8,35.9,0.062017149,13.28836139,0.085726037,674290
2,17.4,42.1,0.108615836,40423,14.9,15.2,0.132056536,16.80456956,0.353497557,46713
1,12.1,76.6,0.234409854,56590,7.6,29.7,0.141259077,100.9638554,0.254365267,57768
0,7.4,78.1,0.256987578,65670,9.2,32.1,0.042110134,178.1034483,1,5817
0,10.8,80.3,0.224761905,63628,3.8,36.4,0.055343147,65.11330049,0.76365108,14580
0,16.9,80.4,0.153968506,48071,6.4,54.4,0.049232021,133.6785714,0.739397126,16137
0,8,77.9,0.196473552,57083,2.3,40.4,0.049586777,0,1,769
0,18.5,52.8,0.086640212,31715,17.2,27.1,0.115654206,127.4545455,0.66955665,6459
0,11.7,80.3,0.107142857,46014,5,18.1,0.124031008,1244,1,1352
8,8.5,78.3,0.322707859,70164,5.4,41.6,0.059903148,83.39600998,0.074267177,565143
0,13.2,79.6,0.092624357,40304,11,20.3,0.089864159,114.3333333,1,1414
0,16.4,63.4,0.108891109,40603,8.5,13.3,0.165041531,22.01796407,0.580379926,8234
0,11.5,81.5,0.167272727,45367,8.4,27.4,0.0796,1282,0.356356825,7461
0,10.6,76.2,0.238553433,60278,6,43.3,0.05315883,233.1980198,0.635034803,54770
10,13.7,75.8,0.250922981,59805,6.6,44.3,0.047100373,101.3742567,0.152016998,333869
2,14.9,62.8,0.141263302,45067,17.2,17,0.157019231,45.07518797,0.463672873,14067
0,16.6,37,0.124627311,39005,8.8,15.1,0.203176204,7.577741408,1,5551
0,16.9,69.2,0.140095405,42319,11.2,15.8,0.131659731,63.17981073,0.336042757,21946
7,15.6,71.4,0.185527316,49322,11.3,26.3,0.100708548,124.263587,0.13179235,148401
0,7.6,70.4,0.176630435,48125,0,42.3,0.02124431,109.8333333,1,724
1,11.4,73.2,0.164259928,51387,12.7,15.3,0.099802716,190.734375,0.310522918,12899
1,17.9,68.4,0.123068062,43553,10.2,26.7,0.101919991,224.5894737,0.687365636,26153
1,19,67.6,0.12523855,43999,14.3,24.5,0.126112656,143.1325758,0.452,40800
1,11.6,75.8,0.134344113,48450,12.8,14.9,0.198089906,34.48648649,0.351523064,28323
1,24.3,64.8,0.096458277,32311,19.5,15.6,0.152184427,271.5483871,0.341732635,18284
0,7.8,76.8,0.228282828,61624,3.7,52,0.018939394,0,1,4660
2,7.3,75.1,0.219018992,56969,5.1,29.2,0.042558288,0,1,16581
0,15.3,74.3,0.136762127,43639,7.7,21.2,0.11827957,593.7142857,1,4326
0,9.9,80.7,0.36010568,71196,1.7,59.1,0.048705209,61.84962406,0.437273219,17782
0,19,71.9,0.139415157,40179,17.6,13.5,0.186431967,143.7654321,0.386233591,11949
10,19.8,64.2,0.131201501,41286,19.1,21.6,0.120419042,35.18141593,0.143658487,163117
0,17.4,76.5,0.212731668,61842,6.4,22,0.088548911,203.9032258,1,6548
0,19.2,70.2,0.119774746,39672,18,22,0.167522224,104.4105263,0.702262443,11467
